request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_90,2560,affordable_now,full_payment,2026-07-06:2560,2026-07-06,stop:event_8409,Pay ZAR 2560 today while keeping at least ZAR 7600 available.
request_91,1424.07,affordable_later,wait,2024-09-14:1927.2,2024-09-14,none,"Wait until 2024-09-14, when EUR 1927.2 can be paid while keeping the EUR 2100 minimum."
request_92,34034,affordable_now,full_payment,2025-02-05:34034,2025-02-05,stop:event_8584,Pay ZAR 34034 today while keeping at least ZAR 28100 available.
request_93,1729.2,affordable_now,full_payment,2026-04-07:1729.2,2026-04-07,stop:event_8666,Pay USD 1729.2 today while keeping at least USD 1900 available.
request_94,572,affordable_now,full_payment,2024-12-04:572,2024-12-04,stop:event_8736,Pay EUR 572 today while keeping at least EUR 600 available.
request_95,0,not_affordable,not_recommended,none,,none,Do not proceed: no eligible plan keeps the INR 145500 minimum protected through the deadline.
request_96,45610.77,not_affordable,not_recommended,none,,none,Do not proceed: no eligible plan keeps the INR 56500 minimum protected through the deadline.
request_97,0,not_affordable,not_recommended,none,,none,Do not proceed: no eligible plan keeps the ZAR 29700 minimum protected through the deadline.
request_98,13891.12,affordable_later,wait,2025-08-14:27148,2025-08-14,none,"Wait until 2025-08-14, when ZAR 27148 can be paid while keeping the ZAR 30000 minimum."
request_99,18062,affordable_now,full_payment,2026-07-04:18062,2026-07-04,stop:event_9220,Pay ZAR 18062 today while keeping at least ZAR 49100 available.
request_100,29616.17,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-06-14,none,Use the recommended installments plan; it keeps at least ZAR 32500 available.
request_101,143500,affordable_now,full_payment,2025-11-03:143500,2025-11-03,stop:event_9345,Pay INR 143500 today while keeping at least INR 187400 available.
request_102,1716,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,stop:event_9427,Use the recommended installments plan; it keeps at least EUR 900 available.
request_103,23897.54,not_affordable,not_recommended,none,,none,Do not proceed: no eligible plan keeps the INR 125500 minimum protected through the deadline.
request_104,17204,affordable_now,full_payment,2025-02-04:17204,2025-02-04,stop:event_9603,Pay ZAR 17204 today while keeping at least ZAR 24700 available.
request_105,53500,affordable_now,full_payment,2026-06-08:53500,2026-06-08,stop:event_9688,Pay INR 53500 today while keeping at least INR 73900 available.
request_106,390.22,not_affordable,not_recommended,none,,none,Do not proceed: no eligible plan keeps the EUR 1200 minimum protected through the deadline.
request_107,0,not_affordable,not_recommended,none,,none,Do not proceed: no eligible plan keeps the EUR 1600 minimum protected through the deadline.
request_108,4947.66,not_affordable,not_recommended,none,,none,Do not proceed: no eligible plan keeps the ZAR 24100 minimum protected through the deadline.
request_109,868.51,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98,2024-03-15,none,Use the recommended installments plan; it keeps at least EUR 1700 available.
request_110,22352,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,stop:event_10169,Use the recommended installments plan; it keeps at least ZAR 11200 available.
request_111,16625000,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,stop:event_10240,Pay IDR 16625000 today while keeping at least IDR 23022800 available.
request_112,0,not_affordable,not_recommended,none,,none,Do not proceed: no eligible plan keeps the EUR 500 minimum protected through the deadline.
request_113,36500,affordable_now,full_payment,2026-09-04:36500,2026-09-04,stop:event_10406,Pay INR 36500 today while keeping at least INR 82300 available.
request_114,58991.77,not_affordable,not_recommended,none,,none,Do not proceed: no eligible plan keeps the INR 113400 minimum protected through the deadline.
request_115,16371.71,affordable_later,wait,2024-10-14:80500,2024-10-14,none,"Wait until 2024-10-14, when INR 80500 can be paid while keeping the INR 38800 minimum."
request_116,23768.4,not_affordable,not_recommended,none,2025-04-15,none,Do not proceed: no eligible plan keeps the INR 80300 minimum protected through the deadline.
request_117,880,affordable_now,full_payment,2026-07-05:880,2026-07-05,stop:event_10866,Pay EUR 880 today while keeping at least EUR 1000 available.
request_118,737.43,affordable_with_plan,installments,2024-12-07:255.87|2025-01-07:255.87|2025-02-07:255.87,2024-12-15,none,Use the recommended installments plan; it keeps at least EUR 600 available.
request_119,0,not_affordable,not_recommended,none,,none,Do not proceed: no eligible plan keeps the INR 151200 minimum protected through the deadline.
request_120,7714000,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,Pay IDR 7714000 today while keeping at least IDR 20050300 available.
request_121,633.6,affordable_now,full_payment,2024-03-03:633.6,2024-03-03,stop:event_11135,Pay USD 633.6 today while keeping at least USD 800 available.
request_122,20558000,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,stop:event_11239,Use the recommended installments plan; it keeps at least IDR 12588500 available.
request_123,4076000,affordable_now,full_payment,2026-01-07:4076000,2026-01-07,none,Pay IDR 4076000 today while keeping at least IDR 18091200 available.
request_124,1135.86,not_affordable,not_recommended,none,,none,Do not proceed: no eligible plan keeps the EUR 1600 minimum protected through the deadline.
request_125,6468,affordable_now,full_payment,2025-11-06:6468,2025-11-06,stop:event_11487,Pay ZAR 6468 today while keeping at least ZAR 11300 available.
request_126,159600,affordable_now,full_payment,2026-07-03:159600,2026-07-03,stop:event_11608,Pay INR 159600 today while keeping at least INR 129700 available.
request_127,0,not_affordable,not_recommended,none,,none,Do not proceed: no eligible plan keeps the ZAR 41000 minimum protected through the deadline.
request_128,25168,affordable_now,full_payment,2025-02-07:25168,2025-02-07,stop:event_11779,Pay ZAR 25168 today while keeping at least ZAR 42600 available.
request_129,154.54,not_affordable,not_recommended,none,,none,Do not proceed: no eligible plan keeps the USD 800 minimum protected through the deadline.
request_130,562.07,affordable_later,wait,2025-01-14:1978.8,2025-01-14,none,"Wait until 2025-01-14, when USD 1978.8 can be paid while keeping the USD 1400 minimum."
request_131,0,not_affordable,not_recommended,none,,none,Do not proceed: no eligible plan keeps the USD 1100 minimum protected through the deadline.
request_132,379.86,affordable_now,full_payment,2026-01-05:379.86,2026-01-05,stop:event_12110,Pay USD 379.86 today while keeping at least USD 1100 available.
request_133,4460693.58,not_affordable,not_recommended,none,,none,Do not proceed: no eligible plan keeps the IDR 9986200 minimum protected through the deadline.
request_134,7343943.67,affordable_later,wait,2025-08-14:21831000,2025-08-14,none,"Wait until 2025-08-14, when IDR 21831000 can be paid while keeping the IDR 15902500 minimum."
request_135,304.8,affordable_now,full_payment,2026-07-06:304.8,2026-07-06,stop:event_12446,Pay USD 304.8 today while keeping at least USD 500 available.
request_136,560.4,affordable_now,full_payment,2024-06-03:560.4,2024-06-03,stop:event_12466,Pay USD 560.4 today while keeping at least USD 1100 available.
request_137,40060.43,affordable_later,wait,2025-12-14:80100,2025-12-14,none,"Wait until 2025-12-14, when INR 80100 can be paid while keeping the INR 71800 minimum."
request_138,1014.04,affordable_with_plan,installments,2026-04-07:435.74|2026-05-05:435.74|2026-06-02:435.74,2026-04-14,none,Use the recommended installments plan; it keeps at least EUR 2300 available.
request_139,1848.01,affordable_with_plan,installments,2024-09-07:802.88|2024-10-08:802.88|2024-11-08:802.88,2024-09-14,none,Use the recommended installments plan; it keeps at least USD 1500 available.
request_140,0,not_affordable,not_recommended,none,,none,Do not proceed: no eligible plan keeps the ZAR 21600 minimum protected through the deadline.
request_141,31073.17,not_affordable,not_recommended,none,,none,Do not proceed: no eligible plan keeps the INR 67300 minimum protected through the deadline.
request_142,1263.6,affordable_now,full_payment,2024-12-05:1263.6,2024-12-05,stop:event_13040,Pay USD 1263.6 today while keeping at least USD 1700 available.
request_143,4517.2,affordable_later,wait,2025-06-14:12584,2025-06-14,none,"Wait until 2025-06-14, when ZAR 12584 can be paid while keeping the ZAR 11300 minimum."
request_144,0,not_affordable,not_recommended,none,,none,Do not proceed: no eligible plan keeps the USD 600 minimum protected through the deadline.
request_145,52276.93,affordable_with_plan,installments,2024-03-20:75365.33|2024-04-20:75365.33|2024-05-21:75365.33,2024-04-17,none,Use the recommended installments plan; it keeps at least INR 155400 available.
request_146,42297.22,affordable_later,wait,2025-09-13:449400,2025-09-13,none,"Wait until 2025-09-13, when INR 449400 can be paid while keeping the INR 108600 minimum."
request_147,0,not_affordable,not_recommended,none,,none,Do not proceed: no eligible plan keeps the EUR 900 minimum protected through the deadline.
request_148,10459.85,affordable_with_plan,installments,2024-06-14:7710.56|2024-07-15:7710.56|2024-08-15:7710.56,2024-06-14,none,Use the recommended installments plan; it keeps at least ZAR 20000 available.
request_149,28061.06,affordable_with_plan,installments,2025-11-18:12706.03|2025-12-16:12706.03|2026-01-13:12706.03,2025-11-14,none,Use the recommended installments plan; it keeps at least ZAR 42100 available.
request_150,461.82,affordable_with_plan,installments,2026-01-06:171.98|2026-02-05:171.98|2026-03-07:171.98,2026-01-14,none,Use the recommended installments plan; it keeps at least EUR 700 available.
request_151,21654431.35,not_affordable,not_recommended,none,,none,Do not proceed: no eligible plan keeps the IDR 31633600 minimum protected through the deadline.
request_152,12908.59,affordable_with_plan,installments,2025-02-12:4812.43|2025-03-12:4812.43|2025-04-09:4812.43,2025-02-14,none,Use the recommended installments plan; it keeps at least ZAR 11900 available.
request_153,244.88,not_affordable,not_recommended,none,,none,Do not proceed: no eligible plan keeps the USD 1400 minimum protected through the deadline.
request_154,1625.8,affordable_with_plan,installments,2024-12-04:563.61|2025-01-04:563.61|2025-02-04:563.61,2024-12-04,stop:event_14155,Use the recommended installments plan; it keeps at least EUR 1300 available.
request_155,42268.47,not_affordable,not_recommended,none,,none,Do not proceed: no eligible plan keeps the INR 56300 minimum protected through the deadline.
request_156,9888.88,affordable_later,wait,2026-05-14:43076,2026-05-14,none,"Wait until 2026-05-14, when ZAR 43076 can be paid while keeping the ZAR 26900 minimum."
request_157,6968905.82,affordable_later,wait,2024-04-17:23503000,2024-04-17,none,"Wait until 2024-04-17, when IDR 23503000 can be paid while keeping the IDR 15714100 minimum."
request_158,242600,affordable_with_plan,installments,2025-08-07:84101.33|2025-09-04:84101.33|2025-10-02:84101.33,2025-08-07,stop:event_14506,Use the recommended installments plan; it keeps at least INR 131400 available.
request_159,13398,affordable_now,full_payment,2026-01-04:13398,2026-01-04,stop:event_14579,Pay ZAR 13398 today while keeping at least ZAR 8700 available.
request_160,0,not_affordable,not_recommended,none,,none,Do not proceed: no eligible plan keeps the EUR 1200 minimum protected through the deadline.
request_161,0,not_affordable,not_recommended,none,,none,Do not proceed: no eligible plan keeps the IDR 23010400 minimum protected through the deadline.
request_162,3626904,not_affordable,not_recommended,none,,none,Do not proceed: no eligible plan keeps the IDR 24161100 minimum protected through the deadline.
request_163,14784321.61,affordable_with_plan,installments,2024-09-10:6692053.33|2024-10-11:6692053.33|2024-11-11:6692053.33,2024-09-14,none,Use the recommended installments plan; it keeps at least IDR 26728700 available.
request_164,27018000,affordable_with_plan,installments,2025-02-11:9366240|2025-03-11:9366240|2025-04-08:9366240,2025-02-04,stop:event_15027,Use the recommended installments plan; it keeps at least IDR 29550500 available.
request_165,80600,affordable_now,full_payment,2026-04-06:80600,2026-04-06,stop:event_15110,Pay INR 80600 today while keeping at least INR 95000 available.
request_166,2907.6,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,stop:event_15180,Use the recommended installments plan; it keeps at least USD 1700 available.
request_167,0,not_affordable,not_recommended,none,,none,Do not proceed: no eligible plan keeps the ZAR 31200 minimum protected through the deadline.
request_168,40325.12,affordable_with_plan,partial_payment,2026-01-07:40325.12|2026-03-15:9054.88,2026-03-15,none,Use the recommended partial payment plan; it keeps at least INR 114400 available.
request_169,41976,affordable_now,full_payment,2024-03-04:41976,2024-03-04,stop:event_15456,Pay ZAR 41976 today while keeping at least ZAR 18700 available.
request_170,36253398.4,affordable_with_plan,installments,2025-08-06:12804480|2025-09-03:12804480|2025-10-01:12804480,2025-08-14,none,Use the recommended installments plan; it keeps at least IDR 24715800 available.
request_171,84.43,not_affordable,not_recommended,none,,none,Do not proceed: no eligible plan keeps the EUR 500 minimum protected through the deadline.
request_172,10200,affordable_with_plan,installments,2024-06-05:5304|2024-07-03:5304,2024-06-05,stop:event_15752,Use the recommended installments plan; it keeps at least ZAR 27200 available.
request_173,72336.02,affordable_with_plan,installments,2025-11-21:39173.33|2025-12-19:39173.33|2026-01-16:39173.33,2025-11-14,none,Use the recommended installments plan; it keeps at least INR 79100 available.
request_174,1146.2,affordable_with_plan,installments,2026-04-04:397.35|2026-05-04:397.35|2026-06-03:397.35,2026-04-04,stop:event_15950,Use the recommended installments plan; it keeps at least EUR 700 available.
request_175,2346.3,affordable_now,full_payment,2024-09-06:2346.3,2024-09-06,stop:event_16017,Pay EUR 2346.3 today while keeping at least EUR 1700 available.
request_176,461.95,not_affordable,not_recommended,none,,none,Do not proceed: no eligible plan keeps the EUR 600 minimum protected through the deadline.
request_177,223.05,not_affordable,not_recommended,none,,none,Do not proceed: no eligible plan keeps the USD 1300 minimum protected through the deadline.
request_178,2938.1,affordable_with_plan,installments,2024-12-07:1018.54|2025-01-07:1018.54|2025-02-07:1018.54,2024-12-07,stop:event_16324,Use the recommended installments plan; it keeps at least EUR 1400 available.
request_179,14489069.84,affordable_later,wait,2025-06-14:41648000,2025-06-14,none,"Wait until 2025-06-14, when IDR 41648000 can be paid while keeping the IDR 41430800 minimum."
request_180,0,not_affordable,not_recommended,none,,none,Do not proceed: no eligible plan keeps the INR 37300 minimum protected through the deadline.
request_181,334.43,not_affordable,not_recommended,none,,none,Do not proceed: no eligible plan keeps the USD 2000 minimum protected through the deadline.
request_182,65714,affordable_now,full_payment,2025-08-05:65714,2025-08-05,stop:event_16700,Pay ZAR 65714 today while keeping at least ZAR 31100 available.
request_183,24993245.15,affordable_with_plan,installments,2026-04-10:9313546.67|2026-05-10:9313546.67|2026-06-09:9313546.67,2026-04-14,none,Use the recommended installments plan; it keeps at least IDR 11878300 available.
request_184,29134.92,not_affordable,not_recommended,none,,none,Do not proceed: no eligible plan keeps the INR 110800 minimum protected through the deadline.
request_185,583.12,affordable_later,wait,2025-11-14:1257.3,2025-11-14,none,"Wait until 2025-11-14, when EUR 1257.3 can be paid while keeping the EUR 1300 minimum."
request_186,12556.98,not_affordable,not_recommended,none,,none,Do not proceed: no eligible plan keeps the ZAR 22000 minimum protected through the deadline.
request_187,0,not_affordable,not_recommended,none,,none,Do not proceed: no eligible plan keeps the INR 128300 minimum protected through the deadline.
request_188,275.6,not_affordable,not_recommended,none,,none,Do not proceed: no eligible plan keeps the EUR 900 minimum protected through the deadline.
request_189,488.4,affordable_now,full_payment,2026-07-04:488.4,2026-07-04,stop:event_17407,Pay EUR 488.4 today while keeping at least EUR 400 available.
request_190,826.74,affordable_later,wait,2024-12-15:2557.5,2024-12-15,none,"Wait until 2024-12-15, when EUR 2557.5 can be paid while keeping the EUR 1600 minimum."
request_191,664.4,affordable_now,full_payment,2025-05-03:664.4,2025-05-03,stop:event_17588,Pay EUR 664.4 today while keeping at least EUR 500 available.
request_192,297.26,not_affordable,not_recommended,none,,none,Do not proceed: no eligible plan keeps the USD 1000 minimum protected through the deadline.
request_193,123.64,affordable_with_plan,installments,2024-03-21:420.23|2024-04-21:420.23|2024-05-22:420.23,2024-04-17,none,Use the recommended installments plan; it keeps at least EUR 1000 available.
request_194,47772.37,not_affordable,not_recommended,none,,none,Do not proceed: no eligible plan keeps the INR 113600 minimum protected through the deadline.
request_195,1102.36,not_affordable,not_recommended,none,2026-02-13,none,Do not proceed: no eligible plan keeps the EUR 700 minimum protected through the deadline.
request_196,762.3,affordable_now,full_payment,2024-06-03:762.3,2024-06-03,stop:event_18042,Pay EUR 762.3 today while keeping at least EUR 500 available.
request_197,761487.18,not_affordable,not_recommended,none,,none,Do not proceed: no eligible plan keeps the IDR 26245900 minimum protected through the deadline.
request_198,185800,affordable_now,full_payment,2026-07-07:185800,2026-07-07,stop:event_18255,Pay INR 185800 today while keeping at least INR 124300 available.
request_199,23674000,affordable_with_plan,installments,2024-09-07:8206986.67|2024-10-08:8206986.67|2024-11-08:8206986.67,2024-09-04,stop:event_18276,Use the recommended installments plan; it keeps at least IDR 25359500 available.
request_200,21717000,affordable_now,full_payment,2025-02-06:21717000,2025-02-06,stop:event_18389,Pay IDR 21717000 today while keeping at least IDR 20114600 available.
request_201,23997000,affordable_now,full_payment,2026-04-03:23997000,2026-04-03,stop:event_18470,Pay IDR 23997000 today while keeping at least IDR 17304500 available.
request_202,123900,affordable_now,full_payment,2024-12-05:123900,2024-12-05,stop:event_18539,Pay INR 123900 today while keeping at least INR 147800 available.
request_203,1442.1,affordable_with_plan,installments,2025-05-10:499.93|2025-06-07:499.93|2025-07-05:499.93,2025-05-07,stop:event_18620,Use the recommended installments plan; it keeps at least EUR 1400 available.
request_204,0,not_affordable,not_recommended,none,,none,Do not proceed: no eligible plan keeps the EUR 1300 minimum protected through the deadline.
request_205,10621000,affordable_now,full_payment,2024-03-06:10621000,2024-03-06,stop:event_18833,Pay IDR 10621000 today while keeping at least IDR 13994300 available.
request_206,1404.7,affordable_with_plan,installments,2025-08-03:486.96|2025-08-31:486.96|2025-09-28:486.96,2025-08-03,stop:event_18936,Use the recommended installments plan; it keeps at least EUR 900 available.
request_207,9190.41,affordable_later,wait,2026-07-15:11830,2026-07-15,none,"Wait until 2026-07-15, when ZAR 11830 can be paid while keeping the ZAR 13600 minimum."
request_208,4413000,affordable_now,full_payment,2024-06-07:4413000,2024-06-07,stop:event_19168,Pay IDR 4413000 today while keeping at least IDR 10470700 available.
request_209,2387.04,not_affordable,not_recommended,none,,none,Do not proceed: no eligible plan keeps the ZAR 18400 minimum protected through the deadline.
request_210,954.88,affordable_with_plan,installments,2026-04-06:471.48|2026-05-04:471.48|2026-06-01:471.48,2026-04-14,none,Use the recommended installments plan; it keeps at least USD 2000 available.
request_211,913.62,affordable_later,wait,2024-09-14:1788.6,2024-09-14,none,"Wait until 2024-09-14, when EUR 1788.6 can be paid while keeping the EUR 1500 minimum."
